,Short description,Description,Caller,Assignment group,Cat_Short_Description,Cat_Description,Final Category,Description_len,Short_Dec_len,Des_wrd_cnt,Short_Des_wrd_cnt
0,login issue,verified user detail employee manager name checked user name reset password advised user login check caller confirmed able login issue resolved,spxjnwir pjlcoqds,GRP_0,English,English,English,143,11,21,2
1,outlook,received hello team meeting skype meeting etc appearing outlook calendar somebody please advise correct kind,hmjdrvpb komuaywn,GRP_0,English,English,English,108,7,15,1
2,log vpn,received cannot log vpn best,eylqgodm ybqkwiam,GRP_0,English,English,English,28,7,5,2
3,unable access tool page,unable access tool page,xbkucsvz gcpydteq,GRP_0,English,English,English,23,23,4,4
4,skype error,skype error,owlgqjme qhcozdfx,GRP_0,English,English,English,11,11,2,2
5,unable log engineering tool skype,unable log engineering tool skype,eflahbxn ltdgrvkz,GRP_0,English,English,English,33,33,5,5
6,event critical hostname company com value mountpoint threshold oracle sid erpdata,event critical hostname company com value mountpoint threshold oracle sid erpdata psa psa data perpsr psa,jyoqwxhz clhxsoqy,GRP_1,English,English,English,105,81,16,11
7,ticket employment status new non employee enter user name,ticket employment status new non employee enter user name,eqzibjhw ymebpoih,GRP_0,English,English,English,57,57,9,9
8,unable disable add in outlook,unable disable add in outlook,mdbegvct dbvichlg,GRP_0,English,English,English,29,29,5,5
9,ticket update inplant,ticket update inplant,fumkcsji sarmtlhy,GRP_0,English,English,English,21,21,3,3
10,engineering tool say connected unable submit report,engineering tool say connected unable submit report,badgknqs xwelumfz,GRP_0,English,English,English,51,51,7,7
11,tool site loading page correctly,tool site loading page correctly,dcqsolkx kmsijcuz,GRP_0,English,English,English,32,32,5,5
12,unable login tool sgxqsuojr xwbesorf card,unable login tool sgxqsuojr xwbesorf card,oblekmrw qltgvspb,GRP_0,English,English,English,41,41,6,6
13,user want reset password,user want reset password,iftldbmu fujslwby,GRP_0,English,English,English,24,24,4,4
14,unable open payslip,unable open payslip,epwyvjsz najukwho,GRP_0,English,English,English,19,19,3,3
15,ticket update inplant,ticket update inplant,fumkcsji sarmtlhy,GRP_0,English,English,English,21,21,3,3
16,unable login company vpn,received unable login company vpn website trying open new session using link able get pls help urgently working home tomorrow due month end closing,chobktqj qdamxfuc,GRP_0,English,English,English,147,24,24,4
17,undocking screen come back,undocking screen come back,sigfdwcj reofwzlm,GRP_3,English,English,English,26,26,4,4
18,erp sid account locked,erp sid account locked,nqdyowsm yqerwtna,GRP_0,English,English,English,22,22,4,4
19,unable sign vpn,unable sign vpn,ftsqkvre bqzrupic,GRP_0,English,English,English,15,15,3,3
20,unable check payslip,unable check payslip,mrzgjdal whnldmef,GRP_0,English,English,English,20,20,3,3
21,vpn issue,received hello helpdesk able connect vpn home office couple hour ago connected working anymore getting message session expired click link nothing happens cid image jpg need help dynamic crm click chat live agent regarding dynamic crm question click best,ugephfta hrbqkvij,GRP_0,English,English,English,253,9,39,2
22,unable connect vpn,unable connect vpn,pfmcnahv ofzlusri,GRP_0,English,English,English,18,18,3,3
23,user called vendor phone number,user called vendor phone number,fumkcsji sarmtlhy,GRP_0,English,English,English,31,31,5,5
24,vpn working,received hello able connect company network vpn pls check sir able upload result company network,dceoufyz saufqkmd,GRP_0,English,English,English,96,11,15,2
25,erp sid password reset,erp sid password reset,jqhtkfsm xoehtbnl,GRP_0,English,English,English,22,22,4,4
26,unable login tool check payslip,unable login tool check payslip,dtisfuyp fpvrjlkz,GRP_0,English,English,English,31,31,5,5
27,account locked,account locked,lduqxywt wcydjgvl,GRP_0,English,English,English,14,14,2,2
28,unable login tool,unable login tool,mwebfhdz csndrxgi,GRP_0,English,English,English,17,17,3,3
29,unable log erp sid,unable log erp sid,hvskpglx bpsfxmon,GRP_0,English,English,English,18,18,4,4
30,password reset collaboration platform,password reset collaboration platform,wrlzneit ayqutwgh,GRP_0,English,English,English,37,37,4,4
31,reset user,please reset user password client username xyz,qcehailo wqynckxg,GRP_0,English,English,English,46,10,7,2
32,duplication network address,received gentles two device trying share address trying share one printer hostname prtjc new display erp display using dhcp get address assigned printer hard coded guess address get set static address dhcp need corrected display pick another address,kxsceyzo naokumlb,GRP_4,English,English,English,249,27,38,3
33,es password reset,es password reset,fsqwkbez eudsantq,GRP_0,English,English,English,17,17,3,3
34,unable install flash player,unable install flash player,xzbhmfpg bhqxesym,GRP_0,English,English,English,27,27,4,4
35,ticket employment status new non employee,ticket employment status new non employee,eqzibjhw ymebpoih,GRP_0,English,English,English,41,41,6,6
36,erp sid account unlock password reset,erp sid account unlock password reset,ztlvkmyi xldyitwz,GRP_0,English,English,English,37,37,6,6
37,unable resolve ticket assigned self,status button dierppearing second,shloyakw jztsxdln,GRP_0,English,English,English,33,35,4,5
38,installing engineering tool,need install engineering tool,qcxivzag vyucbagx,GRP_0,English,English,English,29,27,4,3
39,call ecwtrjnq jpecxuty,call ecwtrjnq jpecxuty,olckhmvx pcqobjnd,GRP_0,English,English,English,22,22,3,3
40,ticket update inplant,ticket update inplant,olckhmvx pcqobjnd,GRP_0,English,English,English,21,21,3,3
41,tablet sound working,tablet sound working,eqxakzyi cwfrjitq,GRP_0,English,English,English,20,20,3,3
42,unable login system,unable login system,zcaeryfo tdovhslb,GRP_0,English,English,English,19,19,3,3
43,please reroute job printer printer issue need resolved today,received printer printer working need part replaced reroute job queue printer printer wihuyjdo qpogfwkb indicated prqos need new part may deliver day inwarehouse tool need print printer need taken care today since inwarehouse tool printed picked outside vendor usa daily basis please contact dkmcfreg anwmfvlgenkataramdntyana question job queue today,yisohglr uvteflgb,GRP_5,English,English,English,350,60,49,9
44,unable login tool etime,unable login tool etime,wxdrynag hlktazfm,GRP_0,English,English,English,23,23,4,4
45,log tool etime single sign portal,log tool etime single sign portal,wpdxlbhz etvzjmhx,GRP_0,English,English,English,33,33,6,6
46,password changed password management tool update erp account,password changed password management tool update erp account,lduqxywt wcydjgvl,GRP_0,English,English,English,60,60,8,8
47,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_6,English,English,English,37,28,6,5
48,window password change via password management tool,window password change via password management tool,boyqfsca yoqrmnep,GRP_0,English,English,English,51,51,7,7
49,status change telephony software,closing call agent keep acd call status,aofnvyzt eqiyskhm,GRP_7,English,English,English,39,32,7,4
50,job zscr dly merktc failed job scheduler,received job zscr dly merktc failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,49,40,8,7
51,call ecwtrjnq jpecxuty,call ecwtrjnq jpecxuty,olckhmvx pcqobjnd,GRP_0,English,English,English,22,22,3,3
52,vip need password management tool password manager password reset,need password management tool password manager password reset,jwhmqnye xlpvdwre,GRP_0,English,English,English,61,65,8,9
53,reset scm software password,received hello please reset scm software password cdbaoqts wqbsodni global product manager markhtyeting initiative,cdbaoqts wqbsodni,GRP_0,English,English,English,114,27,14,4
54,account locked office,account kept locking possible reason companysecure mobile device email setup incorrect password stored window network password match,kyzhcsrq fwyltvpd,GRP_0,English,English,English,132,21,17,3
55,skype meeting,received good morning reset password lost option setting skype meeting please help recall able bring back last time,dlougnqw jiuybxew,GRP_0,English,English,English,115,13,18,2
56,enquiry impact reward,enquiry impact reward get password reset,kpudhygb vnizrdeb,GRP_0,English,English,English,40,21,6,3
57,need material plant plant pc thanks,need material plant plant pc,wckrxovs aunsgzmd,GRP_6,English,English,English,28,35,5,6
58,unlock logon password,received hello please help unlock company net log password urgent,cnhkypxw lafncksi,GRP_0,English,English,English,65,21,10,3
59,job zscr dly merktc failed job scheduler,received job zscr dly merktc failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,49,40,8,7
60,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,37,28,6,5
61,password changed required user abc,password changed required user abc,qslrdpwk mdkivacj,GRP_0,English,English,English,34,34,5,5
62,issue outlook,received cid image png fcbe best,lkfzibrx ljnabpgx,GRP_0,English,English,English,32,13,6,2
63,urgent create dlv,please help try create dlv sto sto sto plant plant,qfnthlam lxvnwuja,GRP_6,English,English,English,50,17,10,3
64,apac company two switch since,apac company two switch since company chn apac company access company chn apac company access,utyeofsk rdyzpwhi,GRP_8,English,English,English,93,29,15,5
65,error login sid system,error login sid system verified user detail employee manager name user tried password management tool pwd manager unlocked erp caller confirmed able login issue resolved,quxtnlgd tqnjyzsm,GRP_0,English,English,English,169,22,25,4
66,delivery note post good issue,plant plant plant issue display ekpo sobkz ekpo umsok ekpo kzbws ekpo kzvbre note supported check entry,lyzqrctk cfotnzrx,GRP_0,English,English,English,103,29,17,5
67,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_9,English,English,English,37,28,6,5
68,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,37,28,6,5
69,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,37,28,6,5
70,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,37,28,6,5
71,user locked user xyz,received team please kindly release locked computer user xyz user name fbmugzrl ahyiuqev,przndfbo pldqbhtn,GRP_0,English,English,English,88,20,13,4
72,dell laptop speaker working requires urgent help,laptop speaker working requires urgent help,jgautdmk fpurxzew,GRP_0,English,English,English,43,48,6,7
73,user need help connect wireless connection home,user need help connect wireless connection home user connect lan home connected user system using teamviewer checked network setting help user login home wireless disconnected home lan user confirmed able login home wireless issue resolved,imoelsap gxdwkimv,GRP_0,English,English,English,239,47,35,7
74,inc ticket update,inc ticket update,pwkrlqbc zslqfmka,GRP_0,English,English,English,17,17,3,3
75,job payroll failed job scheduler,received job payroll failed job scheduler,bpctwhsn kzqsbmtp,GRP_10,English,English,English,41,32,6,5
76,job payroll failed job scheduler,received job payroll failed job scheduler,bpctwhsn kzqsbmtp,GRP_10,English,English,English,41,32,6,5
77,job payroll failed job scheduler,received job payroll failed job scheduler,bpctwhsn kzqsbmtp,GRP_10,English,English,English,41,32,6,5
78,power outage ave site hard since,type outage network circuit power please specify type outage top cert site yes yes start scheduled maintenance power yno yes company power provider power scheduled maintenance network yes company maint yes provider maint ticket site backup circuit yes yes backup circuit active yes site contact notified phone email yes remote dial yes equipment reset yes verified site working backup circuit yes vendor ticket global telecom verizon telecom vendor telecom vendor global telecom notified gsc yes cert started yes additional diagnostics,mnlazfsr mtqrkhnx,GRP_8,English,English,English,535,32,80,6
79,power outage germany site hard since,type outage network circuit power please specify type outage top cert site yes start scheduled maintenance power yes company power provider power scheduled maintenance network yes company maint yes provider maint ticket site backup circuit yes backup circuit active yes site contact notified phone email yes remote dial yes equipment reset yes verified site working backup circuit yes vendor ticket global telecom verizon telecom vendor telecom vendor notified gsc yes cert started yes additional diagnostics,jyoqwxhz clhxsoqy,GRP_8,English,English,English,508,36,75,6
80,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_6,English,English,English,37,28,6,5
81,erp sid account locked,erp sid account locked,ilvortuq zfgrlewm,GRP_0,English,English,English,22,22,4,4
82,user yhmwxsqj ugnthxky issue logging outlook,user yhmwxsqj ugnthxky issue logging outlook rgtry available tomorrow around work company campus request reach fix issue,rdfjsawg zpmxgdcw,GRP_0,English,English,English,120,44,17,6
83,job bwhrattr failed job scheduler,received job bwhrattr failed job scheduler,bpctwhsn kzqsbmtp,GRP_9,English,English,English,42,33,6,5
84,engineering tool drawing original pdf format shown,hello service need monitor manufacturing drawing approve manufacturing engineering tool stopped showing pdf original process erp production order interface vendor ba rfc destination production order interface vendor view accessible file cannot stamped bapireturnederrorexception stack trace cadagent erp conn jco jcoerpmanager handlereturnstructureorreturntableline jcoerpmanager java jcoerpmanager java cadagent erp conn jco jcoerpmanager handlereturnstructure jcoerpmanager java jcoerpmanager java cadagent erp conn jco jcoerpmanager generirtcfunction jcoerpmanager java jcoerpmanager java cadagent objmod plmfile checkoutview plmfile java plmfile java aju plm omf omforiginalsexport checkoutbapi omforiginalsexport java omforiginalsexport java plm omf omforiginalsexport downloaddocumentoriginals omforiginalsexport java omforiginalsexport java plm omf omforiginalsexport actionperformed omforiginalsexport java omforiginalsexport java cadagent gui obr obrfunctioneventqueue run obrfunctioneventqueue java obrfunctioneventqueue java bda api bapi document checkoutview known problem fixed,vlymsnej whlqxcst,GRP_11,English,English,English,1090,50,115,7
85,job apo bop plant failed job scheduler,received job apo bop plant failed job scheduler,bpctwhsn kzqsbmtp,GRP_6,English,English,English,47,38,8,7
86,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_9,English,English,English,37,28,6,5
87,job zscr wkly rollfgyuej failed job scheduler,received job zscr wkly rollfgyuej failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,54,45,8,7
88,unable open,unable open,tmopbken ibzougsd,GRP_0,English,English,English,11,11,2,2
89,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,37,28,6,5
90,job sid cold failed job scheduler,received job sid cold failed job scheduler,bpctwhsn kzqsbmtp,GRP_5,English,English,English,42,33,7,6
91,job sid cold failed job scheduler,received job sid cold failed job scheduler,bpctwhsn kzqsbmtp,GRP_5,English,English,English,42,33,7,6
92,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_5,English,English,English,37,28,6,5
93,job sid cold failed job scheduler,received job sid cold failed job scheduler,bpctwhsn kzqsbmtp,GRP_5,English,English,English,42,33,7,6
94,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_5,English,English,English,37,28,6,5
95,job sid cold failed job scheduler,received job sid cold failed job scheduler,bpctwhsn kzqsbmtp,GRP_5,English,English,English,42,33,7,6
96,job sid cold failed job scheduler,received job sid cold failed job scheduler,bpctwhsn kzqsbmtp,GRP_5,English,English,English,42,33,7,6
97,amssm label sys amssm server space consumed space available,amssm label sys amssm server space consumed space available,jyoqwxhz clhxsoqy,GRP_12,English,English,English,59,59,9,9
98,unable view payslip tool time,unable view payslip tool time,vzrbocfl wxtpoyez,GRP_0,English,English,English,29,29,5,5
99,password expiry tomorrow,received system say password expires tomorrow want change new password allow new password accepting say server authorize kindly check needful password expiring tomorrow,ecprjbod litmjwsy,GRP_0,English,English,English,168,24,23,3
100,es portal access issue,received hello kiosk user please reset password confirm noscwdpm akiowsmp ihkolepb ozhnjyef sent october subject es portal access issue mentioned employee krlszbqo spimolgz user able login es portal access pay slip related content attendance tool user please reset user password revert back,noscwdpm akiowsmp,GRP_0,English,English,English,290,22,42,4
101,es portal access issue,received mentioned employee krlszbqo spimolgz user able login es portal access pay slip related content attendance tool user please reset user password revert back,ihkolepb ozhnjyef,GRP_0,English,English,English,163,22,24,4
102,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_9,English,English,English,37,28,6,5
103,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,37,28,6,5
104,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_6,English,English,English,37,28,6,5
105,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_9,English,English,English,37,28,6,5
106,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_9,English,English,English,37,28,6,5
107,attendance tool system log error,received hello good morning experiencing issue attendance tool log every time try log single sign portal following screen get displayed stay appreciate support fix issue cid image jpg cceacf,isfadulo etkyjabn,GRP_0,English,English,English,190,32,29,5
108,excel freezing issue,excel freezing issue,jborwynt gidxbfrq,GRP_0,English,English,English,20,20,3,3
109,unable sync file collaboration platform,unable sync file collaboration platform,utdlmzyb dvfpraeg,GRP_0,English,English,English,39,39,5,5
110,unable update password password management tool password manager,unable update password password management tool password manager,eflahbxn ltdgrvkz,GRP_0,English,English,English,64,64,8,8
111,vitalyst transfer reporting tool access query,vitalyst transfer reporting tool access query,flhkxeqd gwidroap,GRP_0,English,English,English,45,45,6,6
112,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_13,English,English,English,37,28,6,5
113,user said callback,user said callback,fumkcsji sarmtlhy,GRP_0,English,English,English,18,18,3,3
